| HH6        | A     | station     | HH6     | 2018-11-23 10:00:37 | None   |         | ground   |                                  | 540989.2E, 6601070.7N, 1052.5m |
| HH70       | A     | station     | S2      | 2017-03-11 18:05:06 | None   |         | ground   |                                  | 540938.1E, 6601134.0N, 1051.9m |
| HH71       | A     | station     | S2      | 2017-03-11 18:47:54 | None   |         | ground   |                                  | 540952.7E, 6601134.0N, 1052.0m |
| HH72       | A     | station     | HH72    | 2018-02-10 01:11:41 | None   |         | ground   |                                  | 540967.3E, 6601134.0N, 1052.0m |
| HH73       | A     | station     | HH73    | 2018-03-29 16:06:00 | None   |         | ground   |                                  | 540981.9E, 6601134.0N, 1052.0m |
| HH74       | A     | station     | HH74    | 2018-03-29 16:06:02 | None   |         | ground   |                                  | 540996.5E, 6601134.0N, 1051.9m |
| HH75       | A     | station     | HH75    | 2018-11-20 10:00:37 | None   |         | ground   |                                  | 541011.1E, 6601134.0N, 1052.0m |
| HH76       | A     | station     | HH76    | 2018-11-28 10:00:37 | None   |         | ground   |                                  | 541033.0E, 6601129.8N, 1052.0m |
| HH77       | A     | station     | HH77    | 2018-12-04 10:00:37 | None   |         | ground   |                                  | 541047.6E, 6601129.8N, 1052.0m |
| HH78       | A     | station     | HH78    | 2018-12-03 10:00:37 | None   |         | ground   |                                  | 541062.2E, 6601129.8N, 1052.0m |
| HH7        | A     | station     | HH7     | 2018-11-26 10:00:37 | None   |         | ground   |                                  | 541003.8E, 6601070.7N, 1052.5m |
| HH81       | A     | station     | HH81    | 2018-02-10 01:11:58 | None   |         | ground   |                                  | 540857.8E, 6601146.6N, 1051.9m |
| HH82       | A     | station     | HH82    | 2017-10-03 16:43:59 | None   |         | ground   |                                  | 540872.4E, 6601146.6N, 1051.8m |
| HH83       | A     | station     | HH83    | 2017-10-03 16:44:15 | None   |         | ground   |                                  | 540887.0E, 6601146.6N, 1051.8m |
| HH84       | A     | station     | S2      | 2017-01-25 08:25:37 | None   |         | ground   |                                  | 540901.6E, 6601146.6N, 1051.8m |
| HH85       | A     | station     | S2      | 2017-01-25 08:25:37 | None   |         | ground   |                                  | 540916.2E, 6601146.6N, 1051.8m |
| HH86       | A     | station     | S2      | 2017-01-25 08:25:37 | None   |         | ground   |                                  | 540930.8E, 6601146.6N, 1051.8m |
| HH87       | A     | station     | S2      | 2017-01-25 08:25:37 | None   |         | ground   |                                  | 540945.4E, 6601146.6N, 1051.8m |
| HH88       | A     | station     | HH88    | 2017-10-05 12:07:02 | None   |         | ground   |                                  | 540960.0E, 6601146.6N, 1051.9m |
| HH89       | A     | station     | HH89    | 2018-03-29 16:06:04 | None   |         | ground   |                                  | 540974.6E, 6601146.6N, 1051.8m |
| HH8        | A     | station     | HH8     | 2018-11-27 10:00:37 | None   |         | ground   |                                  | 541018.4E, 6601070.7N, 1052.6m |
| HH90       | A     | station     | HH90    | 2018-03-29 16:06:06 | None   |         | ground   |                                  | 540989.2E, 6601146.6N, 1051.8m |
| HH91       | A     | station     | HH91    | 2018-03-29 16:06:08 | None   |         | ground   |                                  | 541003.8E, 6601146.6N, 1051.8m |
| HH92       | A     | station     | HH92    | 2018-11-20 10:00:37 | None   |         | ground   |                                  | 541025.7E, 6601142.4N, 1051.9m |
| HH93       | A     | station     | HH93    | 2018-11-28 10:00:37 | None   |         | ground   |                                  | 541040.3E, 6601142.4N, 1051.9m |
| HH94       | A     | station     | HH94    | 2018-11-29 10:00:37 | None   |         | ground   |                                  | 541054.9E, 6601142.4N, 1052.1m |
| HH95       | A     | station     | HH95    | 2018-12-03 10:00:37 | None   |         | ground   |                                  | 541069.5E, 6601142.4N, 1051.9m |
| HH98       | A     | station     | HH98    | 2017-10-03 16:44:30 | None   |         | ground   |                                  | 540850.5E, 6601159.2N, 1051.8m |
| HH99       | A     | station     | HH99    | 2018-01-09 22:32:13 | None   |         | ground   |                                  | 540865.1E, 6601159.2N, 1051.6m |
| HH9        | A     | station     | HH9     | 2018-11-29 10:00:37 | None   |         | ground   |                                  | 541033.0E, 6601070.7N, 1052.5m |
